ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
596,   Markus Schneider & Thomas Hensel   2020 Weisswein 'Hensel & Gretel' ," Markus Schneider & Thomas Hensel, SHP Weincooperation GbR, Markus Schneider und Thomas Hensel, In den Almen 13, 67098 Bad Dürkheim ", Deutschland , Pfalz , Weißwein ,2020," Grauer Burgunder, Pinot Gris, Pinot Grigio, Weißer Burgunder/Pinot Blanc/Pinot Bianco ", Qualitätswein , 13.0 , trocken , Enthält Sulfite ," Barriquefaß, Holzfaß, Edelstahltank ", 8 - 12 , bis 2024 ,, Stelvin-Drehverschluß ,,,,"Mergel, Lehm, Löß",,,,,,,,,1," Die 2020 Cuvée Hensel & Gretel duftet nach reifen Birnen und Äpfeln, etwas Maracuja, Ananas und reifer Honigmelone. Dazu kommen zarte, buttrige Brioche- und Vanillearomen vom Holzfaß. Am Gaumen ist er zu Beginn frisch und saftig, dann kraftvoll. Die feine Mineralik harmoniert wunderbar mit der frischen Säure und dem cremigen, langen Nachhall."
597,   Weingut Egon Müller   2020 Riesling Kabinett Scharzhofberger ," Weingut Egon Müller, Scharzhofberg 266, 54459 Wiltingen ", Deutschland , Saar , Weißwein ,2020, Weißer Riesling ," Kabinett, VDP Große Lage ", 9.0 , fruchtig mit deutlicher Restsüße , Enthält Sulfite , 1200 l Fuder , 8 - 12 ,,, Naturkork ,,,,,,,,,,,,,1,
598,   Weingut Egon Müller   2020 Scharzhof Riesling ," Weingut Egon Müller, Scharzhofberg 266, 54459 Wiltingen ", Deutschland , Saar , Weißwein ,2020, Weißer Riesling , Qualitätswein , 10 , fruchtsüß , Enthält Sulfite , 1200 l Fuder , 8 - 12 , bis 2035 ,, Naturkork ,,,,,,,,,,,,,1,
599,   Weingut Egon Müller   2020 Riesling Kabinett Wiltinger braune Kupp ," Weingut Egon Müller, Scharzhofberg 266, 54459 Wiltingen ", Deutschland , Saar , Weißwein ,2020, Weißer Riesling , Kabinett , 9.0 , fruchtig mit deutlicher Restsüße , Enthält Sulfite , 1200 l Fuder , 8 - 12 ,,, Naturkork ,,,,,,,,,,,,,1,
600,   Weingut Dönnhoff   2020 Grauburgunder trocken ," Weingut Dönnhoff, Weingut Dönnhoff, Bahnhofstraße 11, 55585 Oberhausen an der Nahe ", Deutschland , Nahe , Weißwein ,2020," Grauer Burgunder, Pinot Gris, Pinot Grigio ", VDP Gutswein , 12.5 , trocken , Enthält Sulfite , großes Holzfaß , 8 - 12 , bis 2030 ,, Stelvin-Drehverschluß ,,,Hanglagen der Mittleren Nahe,"Vulkanisches Urgestein Porphyr, Melaphyr, dazu Schiefer, Quarzit.",Vergärung und etwa 6 Monate Reifung im klassischen großen Holzfass aus deutscher Eiche., Robert Parker ,,,,,,,1," Stephan Reinhardt, Wine Advocate, September 2021: „Fermented and aged in doppelstücks (2,400-liter barrels) until the bottling In April, the 2020 Grauburgunder Trocken opens with an intense and aromatic yet also fine bouquet that is remarkably delicate, pure and precise on the nose. On the palate, this is more coolish, spicy, fresh and vital compared to the Pinot Blanc, quite filigreed and very elegant, with a good finish. Finely tannic on the finish and stimulatingly bitter. Tasted at the domain in July 2021.“"
601,   Weingut Dönnhoff   2020 Weißburgunder trocken ," Weingut Dönnhoff, Weingut Dönnhoff, Bahnhofstraße 11, 55585 Oberhausen an der Nahe ", Deutschland , Nahe , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , VDP Gutswein , 12 , trocken , Enthält Sulfite , großes Holzfaß , 8 - 12 , bis 2028 ,, Stelvin-Drehverschluß ,,,Hanglagen der Mittleren Nahe,"Vulkanisches Urgestein Porphyr, Melaphyr, dazu Schiefer, Quarzit.",Vergärung und etwa 6 Monate Reifung im klassischen großen Holzfass aus deutscher Eiche., Wein Direktimport ," Apéro, Fisch, Süßwasser, Käse, frisch, Ziegenmilch, Käse, jung, Käse, Schafmilch, Salat ",,,,,,1,
602,   Weingut Dönnhoff   2020 Weißburgunder & Grauburgunder trocken „Doppelstück“ ," Weingut Dönnhoff, Weingut Dönnhoff, Bahnhofstraße 11, 55585 Oberhausen an der Nahe ", Deutschland , Nahe , Weißwein ,2020," Chardonnay, Weißer Burgunder/Pinot Blanc/Pinot Bianco ", Qualitätswein , 12.0 , trocken , Enthält Sulfite , großes Holzfaß , 8 - 12 , bis 2034 , etwa 30 Minuten , Naturkork ,,,Gewachsen in den Hanglagen der Mittleren Nahe,Vulkanischer Verwitterungsboden und Lößlehm.,Gärung und 6 Monate Ausbau im 1200 l Holzfaß aus Pfälzer Eiche, Robert Parker ,,,,,,,1," Stephan Reinhardt, Wine Advocate, September 2021: „From the Oberhäuser Felsenberg (porphyry, melaphyre), the 2020 Weissburgunder & Grauburgunder Doppelstück is blended with the grapes that are picked and pressed together. The bouquet is beautifully aromatic, fresh and coolish on the elegant and flinty nose. Pure and salty on the palate, this is a dense, quite complex and persistently salty and mineral cuvée with a tensioned and persistent finish. Impressive! 12.5% alcohol. Tasted at the domain in July 2021.“"
603,   Weingut Dönnhoff   2020 Riesling trocken „Tonschiefer“ ," Weingut Dönnhoff, Weingut Dönnhoff, Bahnhofstraße 11, 55585 Oberhausen an der Nahe ", Deutschland , Nahe , Weißwein ,2020, Weißer Riesling , VDP Gutswein , 12 , trocken , Enthält Sulfite , Edelstahltank , 8 - 12 , 2023 - 2050 ,, Stelvin-Drehverschluß ,,,Oberhausener Leistenberg,Verwitterter grauer Tonschiefer,Vergärung und Reife in Edelstahltank und großen Eichenholzfässern.," Robert Parker, Wein Direktimport ",,,,,,,1," Der 2020 Riesling Tonschiefer ist wieder das Goldstück im Dönnhoffschen Programm. Hier gibt es die großartige Kombination von hoher Qualität und einem vergleichsweise günstigen Preis. Wie in den Jahren davor gab es auch in 2020 die perfekte Verbindung zwischen hohen Reifegraden bei der Frucht und gleichzeitig präsenter, ebenfalls reifer Säure. Der Wein ist wie gewohnt sehr anregend, in 2020 mit dem Extraschippchen Power, Aromatik, Mineralik und knackig-reifer Säure. Viel reife Zitrusfrucht, reife gelbe Birne, Mandarinenschale, Pfirsich und knackig frische Grapefruit im Abgang, am Gaumen ergänzt von der herrlichen Frische und pikanten Mineralik. Stephan Reinhardt, Wine Advocate, September 2021: „Predominantly from the Leistenberg plus first selections of the local crus, the 2020 Riesling Tonschiefer opens enormously pure and stony as well as citric on the earthy nose that is a terrific representative for the clayish slate terroir. Complex and juicy on the palate, this is a tensioned, finely reductive yet very intense and structured dry Riesling with fine phenolic grip and an expressive finish with salty-piquant and phenolic acidity. An impressive wine. 12% alcohol. Tasted at the domain in July 2021.“"
604,   Weingut Dönnhoff   2020 Riesling trocken ," Weingut Dönnhoff, Weingut Dönnhoff, Bahnhofstraße 11, 55585 Oberhausen an der Nahe ", Deutschland , Nahe , Weißwein ,, Weißer Riesling , Qualitätswein , 11.5 , trocken , Enthält Sulfite ," Edelstahltank, Holzfaß ", 8 - 12 , bis 2040 ,, Stelvin-Drehverschluß ,,,Aus den Steillagen der mittleren Nahe.,"Vulkanisches Urgestein Porphyr, Melaphyr, dazu Schiefer, Quarzit.",Vergärung und Reife in Edelstahltank und großen Eichenholzfässern., Robert Parker ,,,,,,,1," Stephan Reinhardt, Wine Advocate, September 2021: „Predominantly from the Oberhausen Kieselberg and Felsenberg, the 2020 Riesling Trocken opens with a clear, ripe, elegant and flinty bouquet of ripe Riesling fruit. Pure, linear and fresh on the palate, this is an intense and vital dry Riesling with stunning mineral expression, grip and salty length. A fabulous wine for small pockets. 11.5% alcohol. Tasted at the domain in July 2021.“"
605,   Weingut Robert Weil   2019 Rheingau Riesling trocken Literflasche ," Weingut Robert Weil, Mühlberg 5, 65399 Kiedrich ", Deutschland , Rheingau , Weißwein ,2019, Weißer Riesling , VDP Gutswein , 12 , trocken , Enthält Sulfite ,, 8 - 10 ,,, Stelvin-Drehverschluß ,,,,,,,,,,,,,1," Der 2019 Riesling trocken ist eine echte Überraschung. In der Nase mit ausgeprägter Aromatik, viel reifer Apfel und Birne, dann reifer Pfirsich, verhalten Zitrusaromen, ein wenig floral, sehr ansprechend und anregend.Am Gaumen kraftvoller Auftakt, intensive Frucht, ergänzt von der leicht cremigen Textur und klaren Mineralik, die mit frischer Säure perfekt ausbalanciert ist. Dieser Gutswein, der in beachtlichen Mengen und auf einem erstaunlich hohen Qualitätsniveau erzeugt wird, überzeugt auf der ganzen Linie.  "
606,   Château Lynch Bages   2019 Le Blanc de Château Lynch Bages Pauillac ," Château Lynch Bages, Lynch Bages, 33250 Pauillac, FRANKREICH ", Frankreich ," Bordeaux, Pauillac ", Weißwein ,2019," Muscadelle, Sauvignon Blanc, Sémillon ", Pauillac AC , 13.0 , trocken , Enthält Sulfite , Barriquefaß , 10 - 14 , 2025 - 2055 ,, Naturkork ,,,,,, Robert Parker ,,,,,,,1," Lisa Perrotti-Brown, Wine Advocate, Juli 2020: „Displaying a deep garnet-purple color, the 2019 Lynch-Bages needs a little coaxing to awaken its alluring scents of blackcurrant pastilles, warm black cherries, boysenberries and baker’s chocolate plus nuances of lilacs, forest floor, iron ore and charcoal with a spicy touch of cinnamon stick. Medium to full-bodied, the palate is jam-packed with ripe, rich black fruit layers, framed by firm, grainy tannins and bold freshness, finishing long and earthy. It is incredibly exciting how the personality of Lynch-Bages has been gaining focus and depth over the last 10-15 years, thanks in part to what appears to be efforts to sustain the mid-palate with just a tad more ripeness while taming and refining the tannins, allowing all these beautiful nuances among what wants to be a powerful fruit core to really shine through. This 2019 is an extraordinary expression and one that I suspect may well reveal even more layers by the time it’s bottled.“"
607,   Cà dei Frati   2020 Lugana DOC 'I Frati' ," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Weißwein ,2020, Turbiana/Trebbiano di Lugana , DOC , 13 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2026 , etwa 30 Minuten , Naturkork ,,,Die Trauben stammen aus den Weinbergen I Frati - Sirmione und Ronchedone - Desenzano del Garda,Kalkhaltige Lehmböden mit sandiger Auflage,"Gärung im Edelstahl, 10 Monate Ausbau im Barriquefaß", Wein Direktimport ," Fisch, Süßwasser, Geflügel, Gemüse, Pasta, Perlhuhn, Suppe ",,"kräftige Suppe, Gemüse, Pasta mit hellen Saucen, pochiertem Fisch, Brathähnchen, frische und mittelreife Käse",,,,1," Der 2020 Lugana I Frati ist wie gewohnt ausgesprochen klar und gradlinig. Obwohl erst wenige Monate auf der Flasche ist er bereits sehr zugänglich, ein wenig Sauerstoff schadet dennoch nicht. Eine halbe Stunde Aufenthalt im Dekanter hilft, die Aromen schneller zur Geltung kommen zu lassen. Dann entwickelt sich die feine, elegante  Frucht mit Aromen von Pfirsich, Süßmandel, Limette, Grapefruit, grünem Apfel und einem Hauch Minze noch besser.Am Gaumen ist er saftig, trocken, sehr klar und überraschend würzig. Die feine, frische Säure wird vom sanftem Schmelz perfekt im Zaum gehalten."
608,   Reva   2019 Langhe Bianco 'Grey' ," Reva, REVA SARL LOC. SAN SEBASTIANO 68 IT-12065 MONFORTE D'ALBA (CN) ", Italien , Piemont , Weißwein ,2019," Sauvignon Blanc, Sauvignon Gris ", DOC , 13.5 , trocken , Enthält Sulfite ," 30% Holzfaß, Edelstahltank ", 8 - 12 , 2026+ , etwa 30 Minuten , Naturkork ,,,," Ton, Kalkstein, Mergel, Sandstein",, Vinifera Mundi ," Apéritif, Krebsen, feinen Fischgerichten, Käse, jung, Poularde ",,,,,,1," Peter Thomas Mühlhäuser, Vinifera Mundi, August 2020: „Mittleres Zitronengelb mit goldenen Reflexen. In der Nase noch etwas unreifer weisser Pfirsich, reife Zitronen, etwas Pampelmuse, reife weisse Johannisbeeren, gelbe und grüne Äpfel, Brioche, eine feine Hefenote, etwas Rauch und Töne von nassem Schiefer. Angenehm frisch und verführerisch.Am Gaumen frisch, mittlerer Körper, cremiger Schmelz, eine sanft schmeichelnde, mittlere Säure, saftige Zitrusnoten und getrocknete Bananen. Spannend, wohlschmeckend und süffig. Langer, erfrischender Abgang mit Kräuternoten und Salz. 17.5/20 (91/100).Passt einfach so oder am besten zu einem leichteren Fischgericht.“"
609,   Weingut Winter   2020 Riesling trocken Literflasche ," Weingut Winter, Weingut Winter, Hauptstrasse 17, 67596 Dittelsheim Hessloch ", Deutschland , Rheinhessen , Weißwein ,2020, Weißer Riesling , Qualitätswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8- 10 , 2023+ ,, Stelvin-Drehverschluß ,,,Weinberge um Dittelsheim,Tiefgründige Tonböden und Kalkgestein,Edelstahltank,,,,,,,,1,
610,"   Domaine Lorenzon   2019 Mercurey Blanc 1er Cru ""Les Champs Martin"" "," Domaine Lorenzon, 14 Rue du Réu, 71640 Mercurey ", Frankreich , Bourgogne , Weißwein ,2019, Chardonnay , AOC , 14.5 , trocken , Enthält Sulfite , Barriquefaß , 10 - 14 , 2023 - 2040 , etwa 30 Minuten , Naturkork ,,,,,, Wein Direktimport ,,,,,,,1," Der 2019 Mercurey Blanc Premier Cru Les Champs Martin bietet die gewohnte ausladende Aromatik, die von großartiger Mineralik begleitet wird. In der Nase elegant und würzig, mit Aromen von hellen Südfrüchten, Quitte, frischer Birne, Limettenzeste und floralen Aromen. Am Gaumen samtig-cremiger Auftakt kombiniert mit wunderbar reifer Säure. Auch hier wieder wunderbar elegant, trotz großem Reifepotential bereits jetzt sehr harmonisch, großartige klare Mineralik, tolle Struktur und beeindruckende Länge. Es ist ein perfekter Wein mit großer Zukunft.  "
611,   Vietti   2020 Roero Arneis ," Vietti, Piazza Vittorio Veneto, 5, 12060 Castiglione Falletto CN, Italien ", Italien , Piemont , Weißwein ,2020, Roero Arneis , DOCG , 13.5 , trocken , Enthält Sulfite ,, 8 - 12 , 2028+ ,, Naturkork ,,,,,,," Apéritif, Geflügel, Kalb, Käse, Schwein, Vorspeisen ",,,,,,1," In der Nase ist der 2020 Roero Arneis sehr duftig. Deutlich ekennbar sind die Aromen von reifen Aprikosen, weißem Pfirsich, Zitrone, Melone und etwas Süßmandel. Im Hintergrund locken feine florale Aromen. Am Gaumen ist der Wein frisch und saftig, trocken, mit anregender frischer Säure, eleganter komplexer Struktur und feinem Schmelz. Er ist sehr ausgewogen und hat ein wunderbares, lange anhaltendes Finale.  "
612,   Ridge Vineyards   2019 Chardonnay Estate Santa Cruz ," Ridge Vineyards, 17100 Montebello Road Cupertino, CA 95014-5435 USA Verantwortlicher Importeur: Wein Direktimport Feinkost Scholz GmbH, Potsdamer Platz 3, D-59494 Soest ", USA ," Santa Cruz Montains, Kalifornien ", Weißwein ,2019, Chardonnay ," Premiumwein, Qualitätswein ", 14.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , bis 2034 ,, Naturkork ,,,,,," Robert Parker, Wein Direktimport ",,,,,,100% Chardonnay,1," Erin Books, Wine Advocate, Februar 2021: „The 2018 Chardonnay Estate Monte Bello Vineyard is a powerhouse on the nose, bursting with baked apples, salted almonds, beeswax, hay and loads of spicy accents. The palate is both silky and pure, concentrated and refreshing, finishing very long with loads of lift and flavor. 2,500 cases produced."""
613,   Telmo Rodriguez   2020 Rueda Blanco D.O. 'BASA' ," Telmo Rodriguez, El Monte 01308 Lanciego, Álava Spanien ", Spanien , Kastilien-Léon , Weißwein ,2020," Verdejo, Viura ", Rueda D.O. , 13 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , bis 2023 ,, Stelvin-Drehverschluß , 5.5 , 1.5 ,,,, Wein Direktimport ," Austern, Fisch, Geflügel, Salat, Sandwich ",,Paßt zur Andalusischen Gazpacho.,,,,1," Unglaublich, wie konstant die Qualität des Basa ist. Auch der Jahrgang 2020 hat einen sehr leicht zugänglichen und dennoch komplexen Charakter. Die Nase ist sehr klar und herrlich frisch, Aromen von frischgepflückten Aprikosen und grünen Äpfeln, dazu Zitronengras, ein wenig Pampelmuse und Mango. Alles ergänzt von feiner Kräuterwürze und einem Hauch Limonenzeste.Am Gaumen startet er saftig und frisch mit ausgeprägter Aromatik. Die präsente, mittlere Säure und die feine phenolische Würze machen den 2020 BASA zu einem idealen Speisenbegleiter. Fisch und Krustentiere vom Grill, Paella mit Geflügel und junge Käse passen perfekt zu diesem preiswerten Bilderbuchrueda."
614,   Weingut Kracher   2018 Spätlese Cuvée ," Weingut Kracher, Apetloner Straße 37 7142 Illmitz Burgenland Österreich ", Österreich ," Burgenland, Neusiedlersee ", Weißwein ,2018," Chardonnay, Weißer Burgunder/Pinot Blanc/Pinot Bianco, Welschriesling ", Qualitätswein , 10 , fruchtig mit deutlicher Restsüße , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2028 ,, Naturkork , 6.0 , 69.4 ,,,Ausbau für 6 Monate im Edelstahltank,," Apéro, Dessert, Käse, frisch, Ziegenmilch, mittelreife Hartkäse, sanften Currys ",,,,,,1," Die 2018 Spätlese Cuvée hat ein helles Goldgelb mit leicht grünen Reflexen. In der Nase reife Geldfrucht, unterlegt mit zarten Aromen von Blüten und frisch gemähter Sommerwiese. Am Gaumen süßer Auftakt, dann saftig und frisch mit belebender Säure und guter Länge."
615,   Markus Schneider   2020 Sauvignon Blanc KAITUI ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Weißwein ,2020, Sauvignon Blanc , Qualitätswein , 12 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , 2023+ ,, Stelvin-Drehverschluß ,,,Hohe und kühlere Weinberge bei Ellerstadt,"Kalkstein, Kalkmergel","Kurzer Maischekontakt, Gärung und Ausbau Edelstahltank.",,,,,,,,1," ""Mit dem Kaitui bringt Markus Schneider die Neue Welt in die Alte Welt. Der Wein ist eher strahlend und aromatisch, keine übertriebene Duftbombe... und sehr erfreulich! Dafür wunderbar dicht und nicht zu laut. Ein Volltreffer und einer der besten Sauvignon blanc in Deutschland."" Zitat Stuart Pigott. Der Wein duftet anregend nach reifer Limette, Stachelbeere, Grapefruit, Zitronengras und frischen Kräutern. Am Gaumen ist der 2020er wie gewohnt frisch und saftig, mit belebender Säure, intensiver und eleganter Frucht. Das ist Neuseeland pur, aber aus der Pfalz! Falstaff, „Weine aus aller Welt im Handel“, Juli 2019 zum Jahrgang 2018: „Frisches, aromatisches Bouquet mit vornehmlich grünlichen Noten, dazu ein Hauch Cassis und Stachelbeere. Am Gaumen schlank, schöne, geradlinige Säure. Frisch!“"
616,"   Markus Schneider   2020 Sauvignon Blanc ""Kaitui"" Magnum "," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Weißwein ,2020, Sauvignon Blanc , Qualitätswein , 12 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 ,,, Stelvin-Drehverschluß ,,,Hohe und kühlere Weinberge bei Ellerstadt,"Kalkstein, Kalkmergel","Kurzer Maischekontakt, Gärung und Ausbau Edelstahltank.",,,,,,,,1," ""Mit dem Kaitui bringt Markus Schneider die Neue Welt in die Alte Welt. Der Wein ist eher strahlend und aromatisch, keine übertriebene Duftbombe... und sehr erfreulich! Dafür wunderbar dicht und nicht zu laut. Ein Volltreffer und einer der besten Sauvignon blanc in Deutschland."" Zitat Stuart Pigott. Der Wein duftet anregend nach reifer Limette, Stachelbeere, Grapefruit, Zitronengras und frischen Kräutern. Am Gaumen ist der 2020er Kaitui wie gewohnt frisch und saftig, mit belebender Säure, intensiver und eleganter Frucht. Das ist Neuseeland pur, aber aus der Pfalz!  Falstaff, „Weine aus aller Welt im Handel“, Juli 2019 zum Jahrgang 2018: „Frisches, aromatisches Bouquet mit vornehmlich grünlichen Noten, dazu ein Hauch Cassis und Stachelbeere. Am Gaumen schlank, schöne, geradlinige Säure"
